id,?column?,file
2945,"نصفي المماس ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2945/2025.08.07.17.20.44.628973.pdf
893,تعريف الاشتقاق,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/893/2024.11.04.12.33.24.771669.pdf
2893,استنتاج المقارب المائل حالة الجذر,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2893/2025.07.25.12.57.12.418536.pdf
2893,استنتاج المقارب المائل حالة الجذر,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/2893/2025.07.25.12.57.18.096685.pdf
1035,"الأشعة _المخروط و الأسطوانة ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1035/2024.11.25.20.52.23.073534.pdf
2946,تمهيد + شرح الحركة التوافقية البسيطة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Physics/2946/____D8____AA____D9____85____D9____87____D9____8A____D8____AF.pdf
2946,تمهيد + شرح الحركة التوافقية البسيطة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Physics/2946/____D8____A7____D9____84____D8____AD____D8____B1____D9____83____D8____A9____20____D8____A7____D9____84____D8____AA____D9____88____D8____A7____D9____81____D9____82____D9____8A____D8____A9____20____D8____A7____D9____84____D8____A8____D8____B3____D9____8A____D8____B7____D8____A9____201.pdf
402,اطراد متتالية بسيط,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/402/2024.11.20.10.46.09.947192.pdf
1158,متراجحة مطلوبة,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/1158/2024.12.15.18.43.56.365831.pdf
407,متتالية حسابية 2,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/407/2024.11.19.12.45.15.316054.pdf
